class,vtable_addr,slot,func_addr,func_name,fingerprint
AlchemyItem,0x0,5,0x14024DAD0,,
AlchemyItem,0x0,6,0x140312FD0,,
AlchemyItem,0x0,7,0x1402613E0,,
AlchemyItem,0x0,8,0x140261420,,
AlchemyItem,0x0,9,0x14026B0B0,,
AlchemyItem,0x0,10,0x140262450,,
AlchemyItem,0x0,11,0x140262440,,
AlchemyItem,0x0,12,0x1403110B0,,
AlchemyItem,0x0,13,0x140311510,,
AlchemyItem,0x0,14,0x140311570,,
AlchemyItem,0x0,15,0x1403115A0,,
AlchemyItem,0x0,16,0x1403115B0,,
AlchemyItem,0x0,17,0x1403115C0,,
AlchemyItem,0x0,18,0x140311650,,
AlchemyItem,0x0,19,0x140311750,,
AlchemyItem,0x0,20,0x140311760,,
AlchemyItem,0x0,21,0x140311770,,
AlchemyItem,0x0,22,0x140261450,,
AlchemyItem,0x0,23,0x1403120D0,,
AlchemyItem,0x0,24,0x140262150,,
AlchemyItem,0x0,25,0x1402622B0,,
AlchemyItem,0x0,26,0x140312300,,
AlchemyItem,0x0,27,0x1402621E0,,
AlchemyItem,0x0,28,0x140262290,,
AlchemyItem,0x0,29,0x140262270,,
AlchemyItem,0x0,30,0x140262390,,
AlchemyItem,0x0,31,0x1402623A0,,
AlchemyItem,0x0,32,0x140262100,,
AlchemyItem,0x0,33,0x1402624D0,,
AlchemyItem,0x0,34,0x140262250,,
AlchemyItem,0x0,35,0x1402624E0,,
AlchemyItem,0x0,36,0x140262260,,
AlchemyItem,0x0,37,0x140262210,,
AlchemyItem,0x0,38,0x1403125D0,,
AlchemyItem,0x0,39,0x1402621D0,,
AlchemyItem,0x0,40,0x1403126E0,,
AlchemyItem,0x0,41,0x140312740,,
AlchemyItem,0x0,42,0x140262500,,
AlchemyItem,0x0,43,0x140458030,,
AlchemyItem,0x0,44,0x140262510,,
AlchemyItem,0x0,45,0x140458080,,
AlchemyItem,0x0,46,0x140262330,,
AlchemyItem,0x0,47,0x1402623E0,,
AlchemyItem,0x0,48,0x1402623B0,,
AlchemyItem,0x0,49,0x140262430,,
AlchemyItem,0x0,50,0x140262420,,
AlchemyItem,0x0,51,0x140262410,,
AlchemyItem,0x0,52,0x1402622A0,,
AlchemyItem,0x0,53,0x140312F90,,
AlchemyItem,0x0,54,0x14026B4A0,,
AlchemyItem,0x0,55,0x140313180,,
AlchemyItem,0x0,56,0x1403131D0,,
AlchemyItem,0x0,57,0x140262180,,
AlchemyItem,0x0,58,0x140262170,,
AlchemyItem,0x0,59,0x140262540,,
AlchemyItem,0x0,60,0x140313210,,
AlchemyItem,0x0,61,0x140313220,,
AlchemyItem,0x0,62,0x140262380,,
AlchemyItem,0x0,63,0x140262460,,
AlchemyItem,0x0,64,0x140458470,,
AlchemyItem,0x0,65,0x1403132A0,,
AlchemyItem,0x0,66,0x140262230,,
AlchemyItem,0x0,67,0x1402624C0,,
AlchemyItem,0x0,68,0x140262220,,
AlchemyItem,0x0,69,0x140262280,,
AlchemyItem,0x0,70,0x1404580A0,,
AlchemyItem,0x0,71,0x140313850,,
AlchemyItem,0x0,72,0x140313890,,
AlchemyItem,0x0,73,0x1403138A0,,
AlchemyItem,0x0,74,0x140262320,,
AlchemyItem,0x0,75,0x1402622D0,,
AlchemyItem,0x0,76,0x140262300,,
