target_va,name
0x1403cd290,RE::BGSChallengeForm::_dtor_BaseFormComponent
0x1403d3040,stl__local_function_detail__LocalFunctionImpl__lambda_9e3ac8b780c8c1fd5e8126efa379e33c__BSVisit__BSVisitControl_NiAVObject_::Func1
0x1403d64b0,stl__local_function_detail__LocalFunctionImpl_std__reference_wrapper__lambda_fb36e8493d592dc4f06c8d965afd4b2a___BSContainer__ForEachResult_TESForm_::Func1
0x1403d71f0,BSService__Detail__TCmd__lambda_f83a5e8329320964c66c1e1fbc00113d__BSResource__Server__Commands__AddDependency_::Func1
0x1403d7230,BSService__Detail__TCmd__lambda_f7aaf0ff2349c7b105c08cc7f5ebedb0__BSResource__Server__Commands__Reschedule_::Func1
0x1403d7270,stl__local_function_detail__LocalFunctionImpl_std__reference_wrapper__lambda_ff674910e530e75b23aed38f42c3d2f3___BSContainer__ForEachResult_TESForm_::Func1
0x1403d7340,TESActorBase::Func5_v14
0x1403d73c0,TESActorBase::Unk_0A
0x1403d74e0,TESActorBase::Unk_11
0x1403d7530,TESNPC::ClearDataComponent
0x1403d7600,TESActorBase::ClearDataComponent
0x1403d7740,TESActorBase::InitializeDataComponent
0x1403d7920,TESActorBase::Func2_v2
0x1403d7950,TESActorBase::Func4_v2
0x1403d79c0,TESActorBase::Func3_v2
0x1403d7a10,BGSLODStates::Geometry::Detached::Func4
0x1403d7bb0,TESActorBase::Unk_36
0x1403d7c50,TESActorBase::Unk_37
0x1403d7c70,TESActorBase::Func2_v14
0x1403d7db0,TESActorBase::Func4_v14
0x1403d7e60,TESActorBase::Func3_v14
0x1403d7f20,TESActorBase::Func2_v9
0x1403d7fa0,TESActorBase::Func3_v9
0x1403d8060,TESActorBase::Func4_v9
0x1403d8130,TESActorBase::Unk_42
0x1403d81d0,TESActorBase::Unk_43
0x1403d8320,TESActorBase::AsPreviewTransform2
0x1403d8480,TESActorBase::Unk_66
0x1403d84b0,TESActorBase::GetDesirability
0x1403d8590,TESActorBase::Unk_60
0x1403d8640,TESActorBase::Unk_6F
0x1403d8720,BSService__Detail__TCmd__lambda_5d4cf4b95f32699d50555a8a889d93e8__BSResource__Server__Commands__AddDependency_::Func1
0x1403d8ee0,TESNPC::Func4_v11
0x1403d8f50,TESNPC::Func3_v11
0x1403d8f80,TESNPC::Func2_v11
0x1403d8fa0,TESNPC::Func4_v10
0x1403d9010,TESNPC::Func3_v10
0x1403d9040,TESNPC::Func2_v10
0x1403d9060,BSTransformExtra::Func4
0x1403d90d0,BSTransformExtra::Func3
0x1403d9100,BSTransformExtra::Func2
0x1403d9120,AutoRegisterFactory___TESNPCInstanceDataFactory_BSTFactoryManager_BSFixedString_InstanceDataFactory_32_BSTSingletonImplicit__::Func4
0x1403d9190,AutoRegisterFactory___TESNPCInstanceDataFactory_BSTFactoryManager_BSFixedString_InstanceDataFactory_32_BSTSingletonImplicit__::Func3
0x1403d91c0,AutoRegisterFactory___TESNPCInstanceDataFactory_BSTFactoryManager_BSFixedString_InstanceDataFactory_32_BSTSingletonImplicit__::Func2
0x1403d91e0,TESNPC::Func4_v12
0x1403d9250,TESNPC::Func3_v12
0x1403d9280,TESNPC::Func2_v12
0x1403d92a0,TESNPC::Func4_v5
0x1403d9310,TESNPC::Func3_v5
0x1403d9340,TESNPC::Func2_v5
0x1403d9360,TESNPC::Func4_v3
0x1403d93d0,TESNPC::Func3_v3
0x1403d9400,TESNPC::Func2_v3
0x1403d9420,TESNPC::Func4_v2
0x1403d9490,TESNPC::Func3_v2
0x1403d94c0,TESNPC::Func2_v2
0x1403d94e0,TESNPC::Func4_v9
0x1403d9550,TESNPC::Func3_v9
0x1403d9580,TESNPC::Func2_v9
0x1403d95a0,TESNPC::Func4_v8
0x1403d9610,TESNPC::Func3_v8
0x1403d9640,TESNPC::Func2_v8
0x1403d9660,TESNPC::Func4_v7
0x1403d96d0,TESNPC::Func3_v7
0x1403d9700,TESNPC::Func2_v7
0x1403d9720,TESNPC::Func4_v6
0x1403d9790,TESNPC::Func3_v6
0x1403d97c0,TESNPC::Func2_v6
0x1403d97e0,TESActorBase::Func4_v7
0x1403d9850,TESActorBase::Func3_v7
0x1403d9880,TESActorBase::Func2_v7
0x1403d98a0,TESActorBase::Func4_v6
0x1403d9910,TESActorBase::Func3_v6
0x1403d9940,TESActorBase::Func2_v6
0x1403d9960,TESActorBase::Func4_v5
0x1403d99d0,TESActorBase::Func3_v5
0x1403d9a00,TESActorBase::Func2_v5
0x1403d9a20,TESActorBase::Func4_v4
0x1403d9a90,TESActorBase::Func3_v4
0x1403d9ac0,TESActorBase::Func2_v4
0x1403d9ae0,TESNPC::Func1_v4
0x1403d9b20,TESActorBase::Func1_v8
0x1403da180,TESNPC::Func1_v18
0x1403da210,BSService__Detail__TCmd__lambda_fd476c18651b400f5eacbe773bf0df4a__void_::Func1
0x1403dd120,stl__local_function_detail__LocalFunctionImpl__lambda_2470bd52f37a1bc90d2267ca1cf712b1__BSEventNotifyControl_BSTEventDetail__SinkBase_::Func1
0x1403dd610,stl__local_function_detail__LocalFunctionImpl__lambda_1d9cd4de79b783b430a3242445fa5138__BSEventNotifyControl_BSTEventDetail__SinkBase_::Func1
0x1403df2b0,stl__local_function_detail__LocalFunctionImpl_std__reference_wrapper___CheckRefAgainstConditionsFuncconst__BSContainer__ForEachResult_NiPointer_TESObjectREFR_const_::Func2
0x1403df350,stl__local_function_detail__LocalFunctionImpl_std__reference_wrapper_FindUnloadedDataForSpecialRefVisitor__BSContainer__ForEachResult_SpecialRefDataconst_::Func1
0x1403df380,stl__local_function_detail__LocalFunctionImpl_std__reference_wrapper_FindUnloadedDataForSpecialRefVisitor__BSContainer__ForEachResult_SpecialRefDataconst_::Func3
0x1403e3e10,BSSequence::AnimationVectorVariableTrack::Func5
0x1403e6b50,TESQuest::GetObjectTypeName
0x1403e6bb0,TESQuest::Unk_56
0x1403e6bf0,TESQuest::Unk_4F
0x1403e6e30,TESQuest::Unk_52
0x1403e6e80,TESQuest::LoopingActivate
0x1403e6f40,TESQuest::Activate
0x1403e6fd0,TESQuest::Unk_50
0x1403e72b0,TESQuest::Unk_51
0x1403e78b0,TESQuest::GetDesirability
0x1403e7ef0,TESQuest::AsPreviewTransform2
0x1403e8060,TESQuest::AsObjectTemplate1
0x1403e9610,TESQuest::BelongsInGroup
0x1403e9650,TESQuest::GetTextForParsedSubTag
0x1403ea420,TESQuest::QHasCurrents
0x1403ea440,TESQuest::Unk_14
0x1403eb6c0,TESQuest::Unk_08
0x1403eb720,TESQuest::Unk_0F
0x1403ec050,TESQuest::Unk_3A
