target_va,name,source_exe,similarity,overlap
0x140a02c50,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4262,74
0x140a16b00,BGSMod::Attachment::Mod::CalculateModRank,Fallout4_OG_1_10_163.exe,0.4103,49
0x140a1ca00,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4290,73
0x140a68130,BSRandom::Float0To1,Fallout4 AE.exe,0.5040,4
0x140ab4d60,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4406,73
0x140ac9660,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_58198f01353e9b52ba2a1bc2e6df2600::_BSContainer::ForEachResult_SpecialRefDataconst_::Func2,Starfield.exe,0.4110,15
0x140ad7700,AutoRegisterFormFactoryComponent_BGSSurface::OverlayPlacement::BGSDesignatedInfoComponent_CopyFormComponentMoverPolicy_::Func4,Starfield.exe,0.4047,28
0x140af9eb0,TESObjectCELL::GetDistanceFromPoint,Fallout4_OG_1_10_163.exe,0.4628,28
0x140b13620,"BSTObjectArena<BGSBodyPartDefs::LIMB_ENUM,BSTObjectArenaScrapAlignAlloc<16>,32>::Reserve",Fallout4_OG_1_10_163.exe,0.4226,15
0x140b278b0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4567,74
0x140b37e90,`anonymous_namespace'::CheckTimeControllers,Fallout4_OG_1_10_163.exe,0.5172,15
0x140b3df00,TESObjectREFR::GetObjectCenter,Fallout4_OG_1_10_163.exe,0.4332,16
0x140b3e060,TESObjectREFR::GetObjectCenter,Fallout4_OG_1_10_163.exe,0.4603,17
0x140b3e260,GameScript::`anonymous_namespace'::mem_ObjectReference_GetHeight,Fallout4_OG_1_10_163.exe,0.4308,7
0x140b42e30,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4268,73
0x140b5e330,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4130,74
0x140b5f4c0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4419,75
